Skill,Count
SQL,26
Python,24
Data Analysis,18
"Extract, Transform, Load (ETL)",14
Machine Learning,14
Microsoft Excel,14
Java,12
Microsoft Power BI,9
MySQL,9
Data Science,7
HTML,7
JavaScript,7
Databases,6
Apache Spark,5
AWS,5
Microsoft Office,5
Microsoft SQL Server,5
C++,4
Git,4
Microsoft Azure,4
R (Programming Language),4
Big Data,3
Data Engineering,3
Hadoop,3
Spring Boot,3
Agile Methodologies,2
Analytical Skills,2
Artificial Intelligence,2
C (Programming Language),2
Cascading Style Sheets,2
Communication,2
Data Structures,2
Deep Learning,2
Problem Solving,2
Project Management,2
Spring Framework,2
SQL Server Integration Services (SSIS),2
Tableau,2
TensorFlow,2
Amazon D3,1
Apache Kafka,1
Business Intelligence,1
C#,1
Computer Science,1
Data Analytics,1
Data Mining,1
Data Modeling,1
Data Visualization,1
Data Warehousing,1
Database Management System (DBMS),1
Docker Products,1
English,1
Front-End Development,1
Github,1
Google Cloud Platform (GCP),1
High Performance Computing (HPC),1
Hive,1
Informatica,1
Java Message Service (JMS),1
Jira,1
Linux,1
Microservices,1
Microsoft PowerPoint,1
Mongo DB,1
NLP,1
Node.js,1
Object-Oriented Programming (OOP),1
Oracle Databases,1
Public Speaking,1
PySpark,1
React.js,1
Redux.js,1
Research,1
REST APIs,1
Software Development,1
SQL Server Reporting Services (SSRS),1
Teamwork,1
